ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
1.66826	0.0478123	1.70136	0.008174	1.66895	1.70138	-0.0330983	0.0396383	-0.0324329	-1.9454	484.931	-1.90627
1.61873	-0.0122354	1.73459	-0.00778	1.61878	1.73461	-0.115856	-0.0044554	-0.115827	-6.67916	57.2674	-6.67743
2.06602	0.0924833	1.77291	-0.022013	2.06808	1.77305	0.293104	0.114496	0.295036	16.5323	-520.13	16.64
2.00791	0.0847454	1.81391	-0.033936	2.0097	1.81423	0.194003	0.118681	0.195474	10.6953	-349.721	10.7745
1.66819	-0.010903	1.85627	-0.04814	1.66823	1.85689	-0.188077	0.037237	-0.188665	-10.132	-77.3515	-10.1603
1.64008	-0.0377464	1.89887	-0.062422	1.64051	1.89989	-0.258792	0.0246756	-0.259383	-13.6287	-39.5303	-13.6525
1.59918	-0.0515142	1.94123	-0.076769	1.6	1.94275	-0.342054	0.0252548	-0.342742	-17.6205	-32.8971	-17.6421
1.6809	-0.0099348	1.97865	-0.095297	1.68093	1.98095	-0.297755	0.0853622	-0.300019	-15.0484	-89.5749	-15.1452
1.66657	-0.0536335	2.00883	-0.113933	1.66743	2.01206	-0.342263	0.0602995	-0.344628	-17.0379	-52.9254	-17.1282
1.65938	-0.0568131	2.03514	-0.129513	1.66035	2.03925	-0.37576	0.0726999	-0.378905	-18.4636	-56.1333	-18.5805
1.66939	-0.0436522	2.05783	-0.141415	1.66996	2.06268	-0.388436	0.0977628	-0.392719	-18.876	-69.1318	-19.0392
1.68157	-0.0896542	2.07674	-0.155107	1.68396	2.08253	-0.395174	0.0654528	-0.39857	-19.0286	-42.1985	-19.1388
1.67898	-0.0712337	2.09396	-0.168492	1.68049	2.10073	-0.414987	0.0972583	-0.420245	-19.8183	-57.7228	-20.0047
1.73012	-0.0858168	2.10882	-0.178844	1.73225	2.11639	-0.378697	0.0930272	-0.38414	-17.9578	-52.0158	-18.1507
1.71693	-0.0854721	2.12362	-0.186875	1.71906	2.13182	-0.406685	0.101403	-0.412766	-19.1506	-54.2624	-19.3621
1.76075	-0.0813637	2.14033	-0.19581	1.76263	2.14926	-0.379579	0.114446	-0.386639	-17.7346	-58.4476	-17.9893
1.78112	-0.105818	2.15773	-0.204581	1.78426	2.1674	-0.376605	0.0987627	-0.383141	-17.4538	-48.2756	-17.6774
